label,N,support,f1_baseline,fp_baseline
ktu_Latn,21343,118,0.4114285714285714,21
kwi_Latn,17740,145,0.7168141592920354,0
lad_Latn,10070,58,0.8818897637795277,13
lao_Laoo,33981,57,1.0,0
lat_Latn,100000,118,0.9957446808510638,0
lia_Latn,13468,45,1.0,0
lij_Latn,35338,58,0.7581699346405228,37
lin_Latn,100000,110,0.9622641509433962,0
lit_Latn,100000,58,1.0,0
lld_Latn,814,59,0.5977011494252874,2
lob_Latn,13529,58,0.9913043478260869,0
loz_Latn,100000,58,0.9824561403508771,0
ltz_Latn,100000,59,0.9586776859504132,4
lua_Latn,100000,58,0.54320987654321,1
lue_Latn,100000,58,0.9914529914529915,1
lug_Latn,100000,49,1.0,0
lun_Latn,100000,56,0.9636363636363636,1
lus_Latn,100000,58,1.0,0
lvs_Latn,100000,115,1.0,0
mad_Latn,44560,60,0.9915966386554621,0
mag_Deva,12847,53,0.7663551401869159,13
mah_Latn,100000,58,1.0,0
mai_Deva,43579,58,0.9734513274336283,0
mal_Mlym,100000,100,1.0,0
mam_Latn,100000,58,0.9824561403508771,0
mar_Deva,100000,59,1.0,0
maz_Latn,17588,59,0.3142857142857143,0
mcd_Latn,26561,60,1.0,0
mcf_Latn,17567,62,1.0,0
men_Latn,16422,59,0.9752066115702479,3
mfq_Latn,21554,58,1.0,0
mic_Latn,17716,59,0.4266666666666667,0
min_Latn,100000,59,1.0,0
miq_Latn,86132,51,1.0,0
mkd_Cyrl,100000,58,0.9913043478260869,0
mlt_Latn,100000,59,0.9365079365079364,8
mnw_Mymr,291,56,1.0,0
mor_Latn,13526,59,1.0,0
mos_Latn,100000,56,0.9909909909909909,0
mri_Latn,73030,57,1.0,0
mto_Latn,24568,51,0.14545454545454545,0
mxv_Latn,100000,58,0.03389830508474576,0
mya_Mymr,100000,56,1.0,0
nav_Latn,81124,59,1.0,0
nba_Latn,100000,59,0.0,1
nbl_Latn,100000,58,0.0,1
ndo_Latn,100000,58,0.983050847457627,2
nds_Latn,100000,58,1.0,0
nio_Cyrl,90,51,1.0,0
niu_Latn,100000,58,0.9914529914529915,1
njo_Latn,30731,64,0.9921259842519685,0
nld_Latn,100000,58,0.9914529914529915,1
nno_Latn,100000,58,0.9464285714285714,1
nob_Latn,100000,62,0.9312977099236642,8
not_Latn,24235,59,0.9914529914529915,0
npi_Deva,100000,55,1.0,0
nso_Latn,100000,58,1.0,0
nya_Latn,100000,116,0.9871244635193134,2
nyn_Latn,100000,50,0.98989898989899,0
nzi_Latn,100000,59,1.0,0
oci_Latn,100000,398,0.38866396761133604,0
ojb_Cans,33721,44,0.9523809523809523,0
oss_Cyrl,100000,44,1.0,0
ote_Latn,56504,59,0.12698412698412698,0
pam_Latn,34170,66,1.0,0
pan_Guru,100000,58,1.0,0
pap_Latn,100000,58,0.9586776859504132,5
pau_Latn,100000,57,1.0,0
pbb_Latn,17747,56,0.9818181818181818,0
pcd_Latn,2213,58,0.0,6
pcm_Latn,33265,56,0.86,1
pis_Latn,100000,57,1.0,0
plt_Latn,100000,53,0.9906542056074767,1
pnb_Arab,100000,61,0.7547169811320755,38
pol_Latn,100000,59,0.9666666666666667,3
pon_Latn,100000,57,0.9911504424778761,0
por_Latn,100000,115,0.8914728682170543,28
pov_Latn,23414,115,0.6857142857142856,0
quc_Latn,100000,58,0.8099173553719008,14
qug_Latn,100000,182,0.0,0
quh_Latn,50801,57,0.9739130434782608,2
quy_Latn,100000,60,0.6338797814207651,65
quz_Latn,100000,57,0.6605504587155963,16
qva_Latn,10970,59,0.03333333333333333,0
qvc_Latn,17482,58,0.5888324873096447,81
qvh_Latn,22988,58,0.0,0
qvm_Latn,16650,60,0.06451612903225806,0
qvn_Latn,17810,57,0.16129032258064516,0
qwh_Latn,17649,59,0.7543859649122807,12
qxn_Latn,17805,57,0.0,0
rar_Latn,100000,59,0.9915966386554621,1
rmn_Latn,100000,116,0.6892655367231638,0
roh_Latn,30545,399,0.9937106918238994,1
ron_Latn,100000,97,0.9896907216494846,1
run_Latn,100000,58,0.9491525423728815,4
rup_Latn,5032,57,0.896,12
rus_Cyrl,100000,58,0.9666666666666666,4
sag_Latn,100000,59,0.7578947368421053,0
sah_Cyrl,100000,57,0.890625,14
san_Deva,100000,55,0.9908256880733944,0
sco_Latn,87458,58,0.9464285714285714,1
sey_Latn,17722,61,0.5412844036697247,98
shk_Latn,6733,55,0.9908256880733944,0
shn_Mymr,32679,56,1.0,0
shp_Latn,71688,62,0.9586776859504132,1
sid_Latn,100000,57,1.0,0
sin_Sinh,100000,59,1.0,0
skr_Arab,2026,63,0.4819277108433735,0
slk_Latn,100000,56,1.0,0
slv_Latn,100000,59,0.9661016949152542,2
sme_Latn,100000,58,1.0,0
smo_Latn,100000,63,0.9838709677419354,0
sna_Latn,100000,60,0.9743589743589743,0
snn_Latn,17690,136,0.3905325443786982,0
som_Latn,100000,57,1.0,0
sot_Latn,73326,57,1.0,0
spa_Latn,100000,78,0.9811320754716981,3
srp_Cyrl,100000,59,0.9830508474576272,1
srp_Latn,79008,59,0.12698412698412698,0
srr_Latn,2867,58,0.9586776859504132,5
ssw_Latn,100000,60,0.9915966386554621,0
suk_Latn,22242,58,0.9913043478260869,0
sun_Latn,100000,66,0.9701492537313432,3
sus_Latn,21057,58,0.9827586206896551,1
swb_Latn,1096,58,0.9739130434782608,1
swe_Latn,100000,61,1.0,0
swh_Latn,100000,58,0.8199999999999998,1
tah_Latn,100000,57,0.0,0
taj_Deva,17753,1,0.0,0
tam_Taml,100000,69,1.0,0
tat_Cyrl,100000,57,1.0,0
tbz_Latn,52480,60,0.7628865979381444,0
tca_Latn,17326,60,0.9915966386554621,0
tel_Telu,100000,58,1.0,0
tem_Latn,13526,55,1.0,0
tet_Latn,100000,58,1.0,0
tgk_Cyrl,100000,57,1.0,0
tha_Thai,100000,114,1.0,0
tir_Ethi,100000,58,0.8296296296296296,21
tiv_Latn,100000,67,0.9848484848484849,0
tly_Latn,3892,59,0.7564102564102563,38
tob_Latn,42001,59,1.0,0
toi_Latn,100000,57,0.9824561403508771,1
toj_Latn,100000,57,1.0,0
ton_Latn,100000,60,1.0,0
top_Latn,100000,59,0.9739130434782608,0
tpi_Latn,100000,58,1.0,0
tsn_Latn,100000,58,1.0,0
tso_Latn,100000,114,0.9295774647887324,0
tsz_Latn,100000,59,0.9464285714285715,0
tuk_Cyrl,100000,57,1.0,0
tuk_Latn,100000,59,1.0,0
tur_Latn,100000,59,0.9516129032258065,6
twi_Latn,100000,116,0.9957081545064378,1
tyv_Cyrl,100000,58,1.0,0
tzh_Latn,100000,25,1.0,0
tzm_Tfng,1590,1,0.19999999999999998,8
tzo_Latn,100000,58,0.9913043478260869,0
udu_Latn,17827,60,1.0,0
uig_Arab,100000,58,1.0,0
uig_Latn,59496,59,1.0,0
ukr_Cyrl,100000,58,1.0,0
umb_Latn,100000,107,0.9809523809523809,0
ura_Latn,17359,56,0.9909909909909909,0
urd_Arab,100000,108,0.9639639639639639,7
uzn_Cyrl,37596,58,1.0,0
uzn_Latn,100000,58,0.9914529914529915,1
vec_Latn,100000,58,0.9914529914529915,1
ven_Latn,100000,89,1.0,0
vep_Latn,9947,58,0.9105691056910569,9
vie_Latn,100000,60,1.0,0
vmw_Latn,100000,58,0.9734513274336283,0
war_Latn,100000,60,0.983050847457627,0
wln_Latn,25529,59,0.6514285714285715,59
wol_Latn,69728,60,0.8759124087591241,17
wuu_Hani,74364,58,0.6097560975609757,56
wwa_Latn,13509,39,1.0,0
xho_Latn,100000,58,0.9344262295081966,7
xsm_Latn,24468,59,0.9830508474576272,1
yad_Latn,16726,55,0.9814814814814815,0
yao_Latn,100000,52,0.9902912621359222,0
yap_Latn,100000,58,0.9913043478260869,0
ydd_Hebr,38324,59,1.0,0
yor_Latn,100000,57,0.9344262295081968,8
yrk_Cyrl,1902,55,0.9719626168224299,0
yua_Latn,100000,59,0.9830508474576272,1
yue_Hani,100000,59,0.923076923076923,4
zam_Latn,17797,60,0.03278688524590164,0
zdj_Latn,1573,50,0.99009900990099,1
zgh_Tfng,2897,61,0.9009009009009009,0
zul_Latn,100000,58,0.9243697478991596,6
zyb_Latn,13305,57,1.0,0
